Company,Cluster,Industry
68-C10b617FE7Cc,2,Health Care
6CEa7#cf8eA72aB,12,Consumer Discretionary
D40a-2675b5739A,10,Health Care
6004a_64b57a94e,15,Health Care
%d26E2711c08E1c,10,Information Technology
843cA6a8dAe2a^3,42,Utilities
CC6b88e5*afaF3b,17,Utilities
BD7e8Ec3=920f5A,8,Financials
989524873=5095B,20,Financials
41^28f5912a71d7,14,Information Technology
FA5d46-77E56447,15,Materials
7e&e5EEB8C4CB9A,15,Health Care
70B4!d01aeCa9D7,15,Health Care
6ed2e2c6C20DD1&,2,Information Technology
64$364f173C052d,14,Financials
38aB644B3bcda@3,12,Financials
5aEF5Ce&B1815d9,2,Information Technology
bF186807981E15-,29,Health Care
0895dA625E46-3D,29,Financials
1a75e4-990F3b11,32,Energy
fB131509854ACc%,24,Information Technology
CC338a02*6692F7,4,Utilities
b049+95B41C859A,8,Communication Services
%adB41504b59B3E,17,Materials
52!3a9bC868b1c8,4,Utilities
9B6C628dd470^24,44,Consumer Discretionary
092$440B564eC1B,22,Industrials
56A#Ab0bD65F319,7,Financials
B5%d1D72bBaE33e,15,Health Care
A3e96$7cde43b27,7,Financials
B74d544d56D&C38,7,Materials
7be4032%205326e,7,Information Technology
0-e0a340F141B16,36,Financials
B08b34E6344^23F,15,Health Care
67657113421_96f,3,Real Estate
D66F607128AcE^8,9,Financials
0397707D^BCC010,7,Financials
2D#3Db88470D967,10,Real Estate
F4=A00224539827,2,Information Technology
826F46846=d4080,14,Information Technology
!53841a691Fdd65,32,Materials
b83C1099*Fbcf5E,15,Health Care
b8766a3aE@6b294,7,Financials
dBc40af4fBb$f66,4,Communication Services
ad11C!6A22299C5,6,Financials
0938603*9EfCC17,17,Consumer Staples
48Dff433777-E5e,18,Consumer Discretionary
1F46@0745278Ae6,29,Health Care
ca5Acc09E@28ae1,32,Utilities
D099e424F54^899,10,Health Care
24326375d73!89D,32,Energy
75Cb9b498!F8774,25,Consumer Staples
e23117B^0fd33Db,34,Industrials
3#967894A2DF48C,2,Information Technology
d89%33D2c72Bdd5,4,Communication Services
a143BA1&5476F0E,6,Information Technology
dE728cbca6FB=76,20,Materials
BCe9c9-cE6982E6,25,Health Care
DA652A796a9E$FA,35,Energy
3FFc738Af2A017-,32,Utilities
08A8*cDd75D9A00,25,Financials
EC2a293ac3Fe&3C,12,Consumer Discretionary
8e78317C4_a0a63,15,Health Care
e41843%8f8eBb58,24,Communication Services
6c*f225eDcFc561,4,Communication Services
C607cfEFf50b3b&,3,Real Estate
a85*B8883521c0f,34,Consumer Discretionary
9B330a7639*c2d5,32,Energy
bf_7d58e625135f,5,Information Technology
bF2B6738BcF4@De,8,Communication Services
28aC1_6D4B6A908,31,Utilities
587838c7B1048#8,32,Materials
d0785_3D1bd45d1,16,Industrials
c780e31129#44dC,32,Energy
ae25aa72f33380$,4,Real Estate
119210e68!8A297,47,Real Estate
C072faaA62985_8,15,Health Care
^2C061530567b23,1,Industrials
dB3!8B50EEAD0B7,1,Consumer Discretionary
36d226=442C25fd,51,Real Estate
fF5d96*B9247A16,22,Consumer Discretionary
61a222A7fcA$f06,5,Industrials
8E&C33A6D616a6f,42,Utilities
DE476a50c68BbD*,1,Information Technology
^59665d9121c78C,20,Information Technology
fA9-674E973C187,14,Financials
+a80e2B15352D50,2,Information Technology
eBB+4F3931535b1,4,Information Technology
Ea48a9b74AE*a96,15,Materials
1C9978Db7577%AD,10,Financials
9983E7f69!0a3CF,47,Real Estate
4F4a034d40AE%D3,32,Energy
c0762&4DD270F1f,5,Information Technology
7583E7c*4E013BF,9,Industrials
C476CcA929B82+a,16,Industrials
eCB!bb1a72CB417,15,Health Care
7E6e999b1dfD-67,12,Consumer Staples
03$dB08b760f2Ae,22,Consumer Discretionary
062E3103A76A*3a,29,Consumer Discretionary
273CcEB9%04a897,7,Financials
4124@E2a0a15b2c,7,Financials
fb&720B5Ef24C88,18,Consumer Discretionary
c2bc36!A994617f,38,Consumer Discretionary
19f901=B3F95803,32,Energy
d1c641&4d1D52cD,0,Industrials
%EB1DEF8BA9F4a1,15,Health Care
34BA96D1a0^30f8,5,Information Technology
fcCc-98c48E9C06,15,Health Care
54828eb8_630BaE,17,Consumer Staples
a7aA4258c+043c3,7,Financials
E7eB1_3E8Eb2d7d,14,Health Care
23!d9489A09B71e,16,Industrials
eB34635E845%56D,15,Health Care
648cf048a2F=30c,15,Health Care
3ec865$8De04f8d,17,Materials
26a404D963*ceD2,42,Real Estate
429-DD4D7271841,39,Information Technology
1a%ce25C7504E91,32,Industrials
8-78f5435bBD4cf,2,Information Technology
5$9A9a981DBe3ad,18,Consumer Discretionary
Bc429B8!1F0806F,7,Financials
1a0e92391B5E29$,2,Information Technology
fa556cF605511C&,47,Real Estate
3ba2F0&1B0db539,32,Energy
5953B53=51550B7,12,Consumer Discretionary
d8248037Bd76+54,6,Industrials
A-EC7eDa2a9F8b1,29,Consumer Discretionary
d56694$1fC19614,29,Financials
4d3c-D8c30F8Af3,43,Utilities
bAB$4492c320f12,2,Information Technology
c1618e&a3876B3b,11,Industrials
2640f6%34C99e69,32,Materials
9d523880364=a65,47,Real Estate
20&8a1F53B4705D,2,Information Technology
1D044DEb3a83DE-,15,Health Care
Ab&28918E6cF62C,34,Consumer Discretionary
C9=d1f77140ab37,38,Consumer Discretionary
@443F80e11b95c0,7,Financials
0034f3d98f5=177,32,Materials
5b48F0838D12&f5,9,Consumer Staples
3F003d593dD5$28,9,Consumer Staples
26992742D6a%926,12,Materials
2@2DCD0Aef8D4b6,10,Energy
51#F92Cbd5FB828,7,Financials
D2660c175ee7^11,7,Financials
AEA!3Bb3B803e70,2,Information Technology
CEa8b7F6FeBD$54,2,Information Technology
94@50C3E27c0BC4,15,Energy
EA2d70aF9*9Ac62,3,Utilities
Da1385e780A4$7d,18,Consumer Discretionary
4&FBe090bfB4C5d,15,Health Care
836ffFAe5a30#d0,9,Industrials
24B6ADEccB6$bc8,32,Utilities
7F72*12De0FcC55,14,Information Technology
b397c0C5E2222A-,2,Information Technology
35CFB9d35b7=Efa,3,Consumer Discretionary
d625ce299a-8716,17,Consumer Discretionary
2Ea2B259*a19937,3,Real Estate
4A181%6b7915a41,32,Energy
E0EdC9!daf17CAA,24,Communication Services
4De-20fAA653F6E,32,Energy
9333Aa424!7963E,10,Financials
BF621@3c51E4161,17,Materials
D987a055_42eb1F,15,Health Care
9c1d76D36$56d22,3,Real Estate
7$AE48bA819750B,17,Consumer Staples
4-7fd98DF8b8BBb,20,Industrials
4417e61767eD-72,23,Materials
7182adE71^c1a13,7,Financials
474a884F46+9885,18,Real Estate
5C379e3A9a1F7-3,32,Energy
9e9BEa85a1020_8,3,Energy
9&CE3E48800dE61,8,Information Technology
DB7738Dd*00f5B6,2,Information Technology
72880Feefb49^72,7,Consumer Discretionary
98Cbd787Fb75#aa,15,Health Care
1D6C0ee3#c3D605,19,Industrials
fd31D04f0&4Dd7d,15,Health Care
40aD685A05760%9,18,Consumer Discretionary
0a34f89A1C620_9,43,Industrials
-CC9a74BA2874d6,2,Real Estate
34ab14657b&8391,28,Financials
c447E84*dDcc7F4,17,Materials
2ef395bF-E359d4,24,Real Estate
539a9e204B1af_f,29,Real Estate
D+235eF0726CA6f,32,Utilities
b0f37AA0%86c7ab,10,Financials
bF07c#6e4eB1F30,2,Information Technology
c0&d36C19b7d9d9,17,Consumer Staples
48E1D15941!9aca,7,Financials
